rank,title,authors,categories,description,published_year,average_rating,ratings_count,edition_count,isbn_10,isbn_13,source,source_id,canonical_url,thumbnail,preview_url,read_url,popularity_score
33,The Magic City,Edith Nesbit,fantasy,,1910,,,445,,,openlibrary,OL99535W,https://openlibrary.org/works/OL99535W,https://covers.openlibrary.org/b/id/1673063-M.jpg,https://openlibrary.org/works/OL99535W,https://openlibrary.org/works/OL99535W,44.5
34,The Phoenix and the Carpet,Edith Nesbit,fantasy,,1903,,,438,,,openlibrary,OL99539W,https://openlibrary.org/works/OL99539W,https://covers.openlibrary.org/b/id/902122-M.jpg,https://openlibrary.org/works/OL99539W,https://openlibrary.org/works/OL99539W,43.800000000000004
35,Nineteen Eighty-Four,George Orwell,fantasy,,1949,,,436,,,openlibrary,OL1168083W,https://openlibrary.org/works/OL1168083W,https://covers.openlibrary.org/b/id/9267242-M.jpg,https://openlibrary.org/works/OL1168083W,https://openlibrary.org/works/OL1168083W,43.6
36,Le avventure di Pinocchio,Carlo Collodi,fantasy,,1883,,,430,,,openlibrary,OL1527356W,https://openlibrary.org/works/OL1527356W,https://covers.openlibrary.org/b/id/8597022-M.jpg,https://openlibrary.org/works/OL1527356W,https://openlibrary.org/works/OL1527356W,43.0
37,Peter Pan,J. M. Barrie,fantasy,,1911,,,429,,,openlibrary,OL462007W,https://openlibrary.org/works/OL462007W,https://covers.openlibrary.org/b/id/8237052-M.jpg,https://openlibrary.org/works/OL462007W,https://openlibrary.org/works/OL462007W,42.900000000000006
38,Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,fantasy,,1872,,,425,,,openlibrary,OL1100007W,https://openlibrary.org/works/OL1100007W,https://covers.openlibrary.org/b/id/6976035-M.jpg,https://openlibrary.org/works/OL1100007W,https://openlibrary.org/works/OL1100007W,42.5
39,Phantastes,George MacDonald,fantasy,,1850,,,417,,,openlibrary,OL15450W,https://openlibrary.org/works/OL15450W,https://covers.openlibrary.org/b/id/14358814-M.jpg,https://openlibrary.org/works/OL15450W,https://openlibrary.org/works/OL15450W,41.7
40,Le petit prince,Antoine de Saint-Exupéry,fantasy,,1943,,,371,,,openlibrary,OL10263W,https://openlibrary.org/works/OL10263W,https://covers.openlibrary.org/b/id/10708272-M.jpg,https://openlibrary.org/works/OL10263W,https://openlibrary.org/works/OL10263W,37.1
41,Fablehaven,Brandon Mull,"fantasy, Juvenile Fiction",Kendra and Seth find themselves in the midst of a battle between good and evil when they visit their grandparents' estate and discover that it is a sanctuary for magical creatures.,2007,4.5,63,,1416947205,9781416947202,google,w7FfrQxhnxEC,http://books.google.com/books?id=w7FfrQxhnxEC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=w7FfrQxhnxEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=w7FfrQxhnxEC&printsec=frontcover&dq=subject:fantasy&hl=&as_pt=BOOKS&cd=2&source=gbs_api,http://play.google.com/books/reader?id=w7FfrQxhnxEC&hl=&as_pt=BOOKS&source=gbs_api,35.71764269937197
42,Harry Potter and the Philosopher's Stone,J. K. Rowling,fantasy,,1997,,,357,,,openlibrary,OL82563W,https://openlibrary.org/works/OL82563W,https://covers.openlibrary.org/b/id/10521270-M.jpg,https://openlibrary.org/works/OL82563W,https://openlibrary.org/works/OL82563W,35.7
43,À rebours,Joris-Karl Huysmans,fantasy,,1884,,,332,,,openlibrary,OL2239396W,https://openlibrary.org/works/OL2239396W,https://covers.openlibrary.org/b/id/13170209-M.jpg,https://openlibrary.org/works/OL2239396W,https://openlibrary.org/works/OL2239396W,33.2
44,Puck of Pook's Hill,Rudyard Kipling,fantasy,,1900,,,322,,,openlibrary,OL20165W,https://openlibrary.org/works/OL20165W,https://covers.openlibrary.org/b/id/8242296-M.jpg,https://openlibrary.org/works/OL20165W,https://openlibrary.org/works/OL20165W,32.2
45,The Little Prince,,"fantasy, Juvenile Fiction","A man has an accident in the Sahara Desert, and encounters the Little Prince.",2000,4.5,50,,0152023984,9780152023980,google,-Hkez1E8jJoC,http://books.google.com/books?id=-Hkez1E8jJoC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=-Hkez1E8jJoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=-Hkez1E8jJoC&printsec=frontcover&dq=subject:fantasy&hl=&as_pt=BOOKS&cd=49&source=gbs_api,http://play.google.com/books/reader?id=-Hkez1E8jJoC&hl=&as_pt=BOOKS&source=gbs_api,31.81980515339464
46,The Fellowship of the Ring,J.R.R. Tolkien,fantasy,,1954,,,296,,,openlibrary,OL27513W,https://openlibrary.org/works/OL27513W,https://covers.openlibrary.org/b/id/14627060-M.jpg,https://openlibrary.org/works/OL27513W,https://openlibrary.org/works/OL27513W,29.6
47,The Enchanted Island of Yew,L. Frank Baum,fantasy,,1903,,,288,,,openlibrary,OL262388W,https://openlibrary.org/works/OL262388W,https://covers.openlibrary.org/b/id/1755697-M.jpg,https://openlibrary.org/works/OL262388W,https://openlibrary.org/works/OL262388W,28.8
48,The Two Towers,J.R.R. Tolkien,fantasy,,1954,,,278,,,openlibrary,OL27479W,https://openlibrary.org/works/OL27479W,https://covers.openlibrary.org/b/id/14627564-M.jpg,https://openlibrary.org/works/OL27479W,https://openlibrary.org/works/OL27479W,27.8
49,Harry Potter and the Chamber of Secrets,J. K. Rowling,fantasy,,1998,,,276,,,openlibrary,OL82537W,https://openlibrary.org/works/OL82537W,https://covers.openlibrary.org/b/id/8392798-M.jpg,https://openlibrary.org/works/OL82537W,https://openlibrary.org/works/OL82537W,27.6
50,The Return of the King,J.R.R. Tolkien,fantasy,,1950,,,272,,,openlibrary,OL27455W,https://openlibrary.org/works/OL27455W,https://covers.openlibrary.org/b/id/14627062-M.jpg,https://openlibrary.org/works/OL27455W,https://openlibrary.org/works/OL27455W,27.200000000000003
