rank,title,authors,categories,description,published_year,average_rating,ratings_count,edition_count,isbn_10,isbn_13,source,source_id,canonical_url,thumbnail,popularity_score
39,The Sea Fairies,L. Frank Baum,fantasy,,1911,,,528,,,openlibrary,OL262384W,https://openlibrary.org/works/OL262384W,https://covers.openlibrary.org/b/id/1814237-M.jpg,52.800000000000004
40,Baum's American Fairy Tales,L. Frank Baum,fantasy,,1901,,,514,,,openlibrary,OL262341W,https://openlibrary.org/works/OL262341W,https://covers.openlibrary.org/b/id/709869-M.jpg,51.400000000000006
41,Sky Island,L. Frank Baum,fantasy,,1912,,,510,,,openlibrary,OL262385W,https://openlibrary.org/works/OL262385W,https://covers.openlibrary.org/b/id/2752804-M.jpg,51.0
42,The deerslayer,James Fenimore Cooper,thriller,,1841,,,504,,,openlibrary,OL77950W,https://openlibrary.org/works/OL77950W,https://covers.openlibrary.org/b/id/8237593-M.jpg,50.400000000000006
43,The Scarecrow of Oz,L. Frank Baum,fantasy,,1915,,,503,,,openlibrary,OL262352W,https://openlibrary.org/works/OL262352W,https://covers.openlibrary.org/b/id/431586-M.jpg,50.300000000000004
44,She,H. Rider Haggard,romance,,1886,,,499,,,openlibrary,OL17453W,https://openlibrary.org/works/OL17453W,https://covers.openlibrary.org/b/id/295537-M.jpg,49.900000000000006
45,The Patchwork Girl of Oz,L. Frank Baum,fantasy,,1913,,,496,,,openlibrary,OL18405W,https://openlibrary.org/works/OL18405W,https://covers.openlibrary.org/b/id/1473369-M.jpg,49.6
46,This Side of Paradise,F. Scott Fitzgerald,romance,,1920,,,495,,,openlibrary,OL468488W,https://openlibrary.org/works/OL468488W,https://covers.openlibrary.org/b/id/8243609-M.jpg,49.5
47,The Magic of Oz,L. Frank Baum,fantasy,,1919,,,494,,,openlibrary,OL262380W,https://openlibrary.org/works/OL262380W,https://covers.openlibrary.org/b/id/5071176-M.jpg,49.400000000000006
48,Tik-Tok of Oz,L. Frank Baum,fantasy,,1914,,,490,,,openlibrary,OL18414W,https://openlibrary.org/works/OL18414W,https://covers.openlibrary.org/b/id/8243277-M.jpg,49.0
49,Rinkitink in Oz,L. Frank Baum,fantasy,,1916,,,488,,,openlibrary,OL262376W,https://openlibrary.org/works/OL262376W,https://covers.openlibrary.org/b/id/765814-M.jpg,48.800000000000004
50,The Enchanted Castle,Edith Nesbit,fantasy,,1907,,,478,,,openlibrary,OL99541W,https://openlibrary.org/works/OL99541W,https://covers.openlibrary.org/b/id/6644514-M.jpg,47.800000000000004
51,Cranford,Elizabeth Cleghorn Gaskell,romance,,1853,,,473,,,openlibrary,OL1103093W,https://openlibrary.org/works/OL1103093W,https://covers.openlibrary.org/b/id/5188445-M.jpg,47.300000000000004
52,Heart of Darkness,Joseph Conrad,romance,,1899,,,464,,,openlibrary,OL38663W,https://openlibrary.org/works/OL38663W,https://covers.openlibrary.org/b/id/12307847-M.jpg,46.400000000000006
53,The Tin Woodman of Oz,L. Frank Baum,fantasy,,1918,,,461,,,openlibrary,OL262381W,https://openlibrary.org/works/OL262381W,https://covers.openlibrary.org/b/id/755973-M.jpg,46.1
54,The Hobbit,J.R.R. Tolkien,fantasy,,1937,,,460,,,openlibrary,OL27482W,https://openlibrary.org/works/OL27482W,https://covers.openlibrary.org/b/id/14627509-M.jpg,46.0
